"station","total_trips","rent_aud_week"
"Allawah Station",12116364,339
"Arncliffe Station",10695851,416
"Artarmon Station",22841889,409
"Ashfield Station",55659986,330
"Asquith Station",5779863,326
"Auburn Station",70817085,328
"Banksia Station",6788125,345
"Bankstown Station",37921114,268
"Bardwell Park Station",4820792,340
"Beecroft Station",7201803,338
"Belmore Station",9988050,269
"Berala Station",8747661,294
"Beverly Hills Station",8848362,315
"Bexley North Station",5188497,358
"Birrong Station",3933022,263
"Blacktown Station",75593863,288
"Bondi Junction Station",119512931,550
"Burwood Station",92803139,362
"Cabramatta Station",38617328,253
"Campbelltown Station",26238060,290
"Campsie Station",32399707,295
"Canley Vale Station",11204681,255
"Canterbury Station",10208120,323
"Caringbah Station",12357471,381
"Carlton Station",12286363,340
"Carramar Station",2516381,215
"Casula Station",1579744,275
"Central Station",436917763,474
"Chatswood Station",135278803,394
"Cheltenham Station",4202848,332
"Chester Hill Station",4805213,262
"Clyde Station",5308443,276
"Concord West Station",9198894,320
"Cronulla Station",13864369,347
"Croydon Station",10077103,380
"Denistone Station",2311888,300
"Dulwich Hill Station",9499610,342
"East Hills Station",3741488,270
"East Richmond Station",918655,296
"Eastwood Station",34774367,325
"Edgecliff Station",40147364,533
"Edmondson Park Station",11388939,292
"Engadine Station",5608011,300
"Epping Station",61314595,327
"Flemington Station",23754945,393
"Glenfield Station",24056576,295
"Gordon Station",29111348,400
"Granville Station",34132630,285
"Green Square Station",48666632,503
"Guildford Station",13212222,256
"Gymea Station",9146568,330
"Harris Park Station",12355070,371
"Holsworthy Station",13727234,375
"Homebush Station",15330382,343
"Hornsby Station",56186170,338
"Hurlstone Park Station",4902390,331
"Hurstville Station",96752003,327
"Ingleburn Station",14440927,180
"Jannali Station",10747376,400
"Killara Station",8928199,410
"Kings Cross Station",73720232,541
"Kingsgrove Station",9863989,329
"Kirrawee Station",7288455,352
"Kogarah Station",50440905,352
"Lakemba Station",15260750,261
"Leightonfield Station",1123888,309
"Leppington Station",11715814,250
"Leumeah Station",11017624,300
"Lewisham Station",12084202,345
"Lidcombe Station",64103902,331
"Lindfield Station",16120680,395
"Liverpool Station",40434464,309
"Macarthur Station",13229815,275
"Macdonaldtown Station",5641366,440
"Marayong Station",4385155,366
"Marrickville Station",16303395,391
"Mascot Station",70597854,456
"Meadowbank Station",20446152,343
"Merrylands Station",27093639,314
"Milsons Point Station",37471947,466
"Miranda Station",18799389,346
"Mortdale Station",15650536,278
"Mount Colah Station",2402706,356
"Narwee Station",7725195,315
"Newtown Station",49944587,433
"Normanhurst Station",5374860,336
"North Strathfield Station",11629042,327
"North Sydney Station",103303804,473
"Oatley Station",8635664,300
"Olympic Park Station",18931849,414
"Padstow Station",13196926,261
"Panania Station",6704846,300
"Parramatta Station",184105981,385
"Pendle Hill Station",13731086,282
"Pennant Hills Station",10426946,313
"Penshurst Station",14060301,303
"Petersham Station",14962174,363
"Punchbowl Station",9879880,272
"Pymble Station",9652377,326
"Quakers Hill Station",12445102,266
"Redfern Station",113855239,435
"Regents Park Station",5802938,260
"Revesby Station",20340220,300
"Rhodes Station",43343795,434
"Richmond Station",3384392,296
"Riverstone Station",4286279,220
"Riverwood Station",16228049,284
"Rockdale Station",47974383,356
"Roseville Station",11576536,318
"Schofields Station",12304749,316
"Sefton Station",3003814,278
"Seven Hills Station",27013874,292
"St Leonards Station",69133676,427
"Stanmore Station",14428187,412
"Strathfield Station",116894452,386
"Summer Hill Station",15673179,324
"Sutherland Station",30778383,357
"Sydenham Station",40316437,390
"Tempe Station",6084731,428
"Thornleigh Station",7435908,356
"Toongabbie Station",12145287,296
"Town Hall Station",446089101,517
"Turramurra Station",16567492,360
"Turrella Station",5096397,395
"Villawood Station",2291295,300
"Wahroonga Station",8235915,375
"Waitara Station",13446825,350
"Warrawee Station",3870078,450
"Warwick Farm Station",10727494,276
"Waterfall Station",1853861,250
"Waverton Station",9403847,450
"Wentworthville Station",17004884,302
"West Ryde Station",20290399,312
"Westmead Station",30137735,322
"Wiley Park Station",6428960,257
"Windsor Station",3380601,230
"Wolli Creek Station",42225007,431
"Wollstonecraft Station",10552190,361
"Woolooware Station",5360751,399
"Wynyard Station",299576169,570
"Yagoona Station",6274339,272
