parent_station,total_appearance,station_name
200060,45468,Central Station
201510,21867,Redfern Station
200070,19663,Town Hall Station
200080,14720,Wynyard Station
214110,14579,Lidcombe Station
213510,13575,Strathfield Station
220510,9692,Wolli Creek Station
206710,9577,Chatswood Station
204420,9040,Sydenham Station
213410,8781,Burwood Station
200030,8661,Martin Place Station
206010,7590,North Sydney Station
206110,7589,Milsons Point Station
215020,7265,Parramatta Station
200020,7130,Circular Quay Station
200040,7127,Museum Station
200050,7127,St James Station
207720,6607,Hornsby Station
212110,6532,Epping Station
216710,6397,Glenfield Station
206020,6329,Waverton Station
206410,6329,Artarmon Station
206510,6329,Wollstonecraft Station
206520,6329,St Leonards Station
214810,6261,Blacktown Station
207010,6103,Lindfield Station
206910,6102,Roseville Station
214710,6079,Seven Hills Station
213110,5915,Ashfield Station
214240,5749,Granville Station
214510,5652,Westmead Station
207210,5465,Gordon Station
207110,5255,Killara Station
217020,5212,Liverpool Station
216620,5207,Cabramatta Station
217010,5206,Warwick Farm Station
204210,5205,Newtown Station
222010,5201,Hurstville Station
201110,4943,Kings Cross Station
202210,4943,Bondi Junction Station
202710,4943,Edgecliff Station
214410,4911,Auburn Station
221210,4801,Revesby Station
201710,4709,Green Square Station
202010,4709,Mascot Station
202020,4702,Domestic Airport Station
202030,4702,International Airport Station
212710,4244,Olympic Park Station
223210,4170,Sutherland Station
214020,3883,Flemington Station
216010,3820,Merrylands Station
216110,3820,Guildford Station
216120,3820,Yennora Station
216510,3820,Fairfield Station
216610,3794,Canley Vale Station
221620,3739,Rockdale Station
221710,3739,Kogarah Station
214120,3722,Berala Station
214310,3722,Regents Park Station
214230,3705,Clyde Station
207410,3620,Turramurra Station
207710,3620,Waitara Station
213820,3616,Rhodes Station
207310,3574,Pymble Station
207420,3574,Warrawee Station
207610,3574,Wahroonga Station
215010,3553,Harris Park Station
217030,3472,Casula Station
217426,3438,Edmondson Park Station
217933,3438,Leppington Station
275010,3306,Penrith Station
276010,3306,St Marys Station
276610,3306,Rooty Hill Station
276710,3306,Doonside Station
277010,3306,Mount Druitt Station
214010,3305,Homebush Station
211420,3289,West Ryde Station
212210,3289,Eastwood Station
274710,3279,Werrington Station
274720,3279,Kingswood Station
2126158,3256,Cherrybrook Station
2153477,3256,Norwest Station
2153478,3256,Bella Vista Station
2154391,3256,Castle Hill Station
2154392,3256,Hills Showground Station
2155382,3256,Kellyville Station
2155383,3256,Rouse Hill Station
2155384,3256,Tallawong Station
211310,3250,Macquarie University Station
211340,3250,Macquarie Park Station
200066,3248,Gadigal Station
211320,3247,North Ryde Station
200046,3244,Barangaroo Station
206044,3244,Victoria Cross Station
206516,3244,Crows Nest Station
222310,3206,Mortdale Station
211430,3126,Meadowbank Station
214520,3113,Wentworthville Station
214530,3113,Pendle Hill Station
214610,3113,Toongabbie Station
256020,3108,Campbelltown Station
204920,2989,Lewisham Station
213010,2989,Summer Hill Station
204810,2981,Stanmore Station
204910,2981,Petersham Station
222210,2963,Penshurst Station
256030,2958,Macarthur Station
256010,2957,Leumeah Station
256410,2957,Macquarie Fields Station
256510,2957,Ingleburn Station
256610,2957,Minto Station
207620,2925,Normanhurst Station
211910,2925,Beecroft Station
211920,2925,Cheltenham Station
212010,2925,Thornleigh Station
212020,2925,Pennant Hills Station
217310,2925,Holsworthy Station
211410,2899,Denistone Station
213710,2899,North Strathfield Station
213810,2899,Concord West Station
201520,2840,Macdonaldtown Station
222620,2781,Jannali Station
201721,2774,Waterloo Station
221010,2753,Riverwood Station
221110,2753,Padstow Station
221310,2721,Panania Station
221320,2721,East Hills Station
213210,2676,Croydon Station
220530,2670,Turrella Station
220710,2670,Bardwell Park Station
220720,2670,Bexley North Station
220810,2670,Kingsgrove Station
220910,2670,Beverly Hills Station
220920,2670,Narwee Station
222710,2625,Gymea Station
222810,2625,Miranda Station
222910,2625,Caringbah Station
223010,2625,Woolooware Station
223020,2625,Cronulla Station
223230,2625,Kirrawee Station
204310,2623,Erskineville Station
204410,2623,St Peters Station
221810,2533,Carlton Station
222020,2533,Allawah Station
276220,2528,Schofields Station
214820,2527,Marayong Station
276310,2527,Quakers Hill Station
214320,2311,Birrong Station
219910,2311,Yagoona Station
220010,2311,Bankstown Station
222320,2211,Oatley Station
220520,2100,Arncliffe Station
221610,2042,Banksia Station
204430,2041,Tempe Station
207730,1849,Asquith Station
207910,1849,Mount Colah Station
208010,1849,Mount Kuring-gai Station
208110,1849,Berowra Station
222610,1503,Como Station
223220,1487,Loftus Station
223310,1487,Engadine Station
223320,1487,Heathcote Station
223330,1487,Waterfall Station
275310,1482,East Richmond Station
275320,1482,Richmond Station
275610,1482,Mulgrave Station
275620,1482,Windsor Station
275630,1482,Clarendon Station
276510,1482,Riverstone Station
276520,1482,Vineyard Station
216210,1412,Sefton Station
216220,1412,Chester Hill Station
216310,1412,Leightonfield Station
216320,1412,Villawood Station
216330,1412,Carramar Station
275020,955,Emu Plains Station
250810,24,Helensburgh Station
